Sample_ID,Sample Type,DNA Extraction Date,Extraction Blank,QR,Collection Date,Time,Station,Program,Depth,Replicate,Sounding,CTD Bottle,Draft,CastID,SampleID,Lat,,Lat_dec,Long,,Long_dec,Notes,,
GDS001-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS001,Aug 7 2021,0.643055556,GC_06,GC,Bottom,1,217,1,3.1,171a001,485501,44,26.8831,44.44805167,62,9.0466,-62.15077667,First cast,,
GDS002-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS002,Aug 7 2021,0.643055556,GC_06,GC,175,1,217,2,3.1,171a001,485502,44,26.8831,44.44805167,62,9.0466,-62.15077667,1-2m swell ,,
GDS003-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS003,Aug 7 2021,0.643055556,GC_06,GC,150,1,217,3,3.1,171a001,485503,44,26.8831,44.44805167,62,9.0466,-62.15077667,Cable warp did bring the CTD off the bottom target depth. ,,
GDS004-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS004,Aug 7 2021,0.643055556,GC_06,GC,100,1,217,4,3.1,171a001,485504,44,26.8831,44.44805167,62,9.0466,-62.15077667,Last cast extended from 205 to 215 wire length,,
GDS005-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS005,Aug 7 2021,0.643055556,GC_06,GC,50,1,217,5,3.1,171a001,485505,44,26.8831,44.44805167,62,9.0466,-62.15077667,,,
GDS006-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS006,Aug 7 2021,0.643055556,GC_06,GC,Surface,1,217,6,3.1,171a001,485506,44,26.8831,44.44805167,62,9.0466,-62.15077667,,,
GDS007-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS007,Aug 7 2021,0.669444444,GC_06,GC,Bottom,2,216,1,3.1,171b001,485507,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS008-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS008,Aug 7 2021,0.669444444,GC_06,GC,175,2,216,2,3.1,171b001,485508,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS009-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS009,Aug 7 2021,0.669444444,GC_06,GC,150,2,216,3,3.1,171b001,485509,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS010-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS010,Aug 7 2021,0.669444444,GC_06,GC,100,2,216,4,3.1,171b001,485510,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS011-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS011,Aug 7 2021,0.669444444,GC_06,GC,50,2,216,5,3.1,171b001,485511,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS012-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS012,Aug 7 2021,0.669444444,GC_06,GC,Surface,2,216,6,3.1,171b001,485512,44,27.2369,44.45394833,62,8.5753,-62.14292167,,,
GDS013-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS013,Aug 7 2021,0.704166667,GC_06,GC,Bottom,3,216.6,1,3.1,171c001,485513,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS014-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS014,Aug 7 2021,0.704166667,GC_06,GC,175,3,216.6,2,3.1,171c001,485514,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS015-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS015,Aug 7 2021,0.704166667,GC_06,GC,150,3,216.6,3,3.1,171c001,485515,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS016-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS016,Aug 7 2021,0.704166667,GC_06,GC,100,3,216.6,4,3.1,171c001,485516,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS017-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS017,Aug 7 2021,0.704166667,GC_06,GC,50,3,216.6,5,3.1,171c001,485517,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS018-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS018,Aug 7 2021,0.704166667,GC_06,GC,Surface,3,216.6,6,3.1,171c001,485518,44,27.364,44.45606667,62,8.1784,-62.13630667,,,
GDS020-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS020,Aug 9 2021,0.354166667,ESI-8,GC,Bottom,1,111,1,3.1,171A002,485520,44,40.1412,44.66902,62,20.7438,-62.34573,Left CTD on when pulled on board and connected via sertermAF by accident,,
GDS021-Atlantic,Sample,2022-11-02,GDSXN003_Atlantic,GDS021,Aug 9 2021,0.354166667,ESI-8,GC,75,1,111,2,3.1,171A002,485521,44,40.1412,44.66902,62,20.7438,-62.34573,cast 5,,
GDS022-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS022,Aug 9 2021,0.354166667,ESI-8,GC,50,1,111,3,3.1,171A002,485522,44,40.1412,44.66902,62,20.7438,-62.34573,Surface water chemistry from 171a002,,
GDS023-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS023,Aug 9 2021,0.354166667,ESI-8,GC,25,1,111,4,3.1,171A002,485523,44,40.1412,44.66902,62,20.7438,-62.34573,171d002 - is the water chemistry ,,
GDS024-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS024,Aug 9 2021,0.354166667,ESI-8,GC,Surface,1,111,5,3.1,171A002,485524,44,40.1412,44.66902,62,20.7438,-62.34573,cast 2 of the CTD the bottom bottle  did not fire. Assume stuck did a recast,,
GDS025-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS025,Aug 9 2021,0.40625,ESI-8,GC,Bottom,2,112,1,3.1,171B002,485527,44,40.1412,44.66902,62,20.7438,-62.34573,grab coordinates from AFM header,,
GDS026-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS026,Aug 9 2021,0.40625,ESI-8,GC,75,2,112,2,3.1,171B002,485528,44,40.1412,44.66902,62,20.7438,-62.34573,Gibberish back from CTD when connecting after cast. I restarted. ,,
GDS027-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS027,Aug 9 2021,0.40625,ESI-8,GC,50,2,112,3,3.1,171B002,485529,44,40.1412,44.66902,62,20.7438,-62.34573,cast 7,,
GDS028-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS028,Aug 9 2021,0.40625,ESI-8,GC,25,2,112,4,3.1,171B002,485530,44,40.1412,44.66902,62,20.7438,-62.34573,,,
GDS029-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS029,Aug 9 2021,0.40625,ESI-8,GC,Surface,2,112,5,3.1,171B002,485531,44,40.1412,44.66902,62,20.7438,-62.34573,Coordinates mis-recorded so they are used from cast 1 - note that Perley was back on station at cast,,
GDS030-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS030,Aug 9 2021,0.451388889,ESI-8,GC,Bottom,3,111,1,3.1,171C002,485534,44,40.073,44.66788333,62,21.335,-62.35558333,again had to reconnect,,
GDS031-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS031,Aug 9 2021,0.451388889,ESI-8,GC,75,3,111,2,3.1,171C002,485535,44,40.073,44.66788333,62,21.335,-62.35558333,waypiont stored ESI 08 3,,
GDS032-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS032,Aug 9 2021,0.451388889,ESI-8,GC,50,3,111,3,3.1,171C002,485536,44,40.073,44.66788333,62,21.335,-62.35558333,,,
GDS033-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS033,Aug 9 2021,0.451388889,ESI-8,GC,25,3,111,4,3.1,171C002,485537,44,40.073,44.66788333,62,21.335,-62.35558333,,,
GDS034-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS034,Aug 9 2021,0.451388889,ESI-8,GC,Surface,3,111,5,3.1,171C002,485538,44,40.073,44.66788333,62,21.335,-62.35558333,"water chem from 5, 25, 50, 80 and bottom taken on 171d002",,
GDS036-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS036,Aug 9 2021,0.109722222,GC-04,GC,Bottom,1,56.4,1,3.1,171A004,485550,44,44.501,44.74168333,62,25.01,-62.41683333,,,
GDS037-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS037,Aug 9 2021,0.109722222,GC-04,GC,25,1,56.4,2,3.1,171A004,485551,44,44.501,44.74168333,62,25.01,-62.41683333,,,
GDS038-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS038,Aug 9 2021,0.109722222,GC-04,GC,Surface,1,56.4,3,3.1,171A004,485552,44,44.501,44.74168333,62,25.01,-62.41683333,,,
GDS039-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS039,Aug 9 2021,0.122916667,GC-04,GC,Bottom,2,55.7,1,3.1,171B004,485553,44,44.501,44.74168333,62,25.062,-62.4177,Same as cast 3,,
GDS040-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS040,Aug 9 2021,0.122916667,GC-04,GC,25,2,55.7,2,3.1,171B004,485554,44,44.501,44.74168333,62,25.062,-62.4177,,,
GDS041-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS041,Aug 9 2021,0.122916667,GC-04,GC,Surface,2,55.7,3,3.1,171B004,485555,44,44.501,44.74168333,62,25.062,-62.4177,,,
GDS042-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS042,Aug 9 2021,0.134722222,GC-04,GC,Bottom,3,56.8,1,3.1,171C004,485556,44,44.501,44.74168333,62,25.062,-62.4177,,,
GDS043-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS043,Aug 9 2021,0.134722222,GC-04,GC,25,3,56.8,2,3.1,171C004,485557,44,44.501,44.74168333,62,25.062,-62.4177,,,
GDS044-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS044,Aug 9 2021,0.134722222,GC-04,GC,Surface,3,56.8,3,3.1,171C004,485558,44,44.501,44.74168333,62,25.062,-62.4177,,,
GDS046-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS046,Aug 9 2021,0.152777778,ESI-6,GC,Botton,1,36.5,1,3.1,171A005,485560,44,46.312,44.77186667,62,26.113,-62.43521667,,CTD caught a big swell when deployed on 171A005 - maybe not an issue but it came in and out of the water. ,
GDS047-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS047,Aug 9 2021,0.152777778,ESI-6,GC,15,1,36.5,2,3.1,171A005,485561,44,46.312,44.77186667,62,26.113,-62.43521667,,,
GDS048-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS048,Aug 9 2021,0.152777778,ESI-6,GC,Surface,1,36.5,3,3.1,171A005,485562,44,46.312,44.77186667,62,26.113,-62.43521667,,,
GDS050-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS050,Aug 9 2021,0.166666667,ESI-6,GC,Botton,2,39.6,1,3.1,171B005,485565,44,46.35,44.7725,62,26.313,-62.43855,,,
GDS051-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS051,Aug 9 2021,0.166666667,ESI-6,GC,15,2,39.6,2,3.1,171B005,485566,44,46.35,44.7725,62,26.313,-62.43855,,,
GDS052-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS052,Aug 9 2021,0.166666667,ESI-6,GC,Surface,2,39.6,3,3.1,171B005,485567,44,46.35,44.7725,62,26.313,-62.43855,,,
GDS053-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS053,Aug 9 2021,0.189583333,ESI-6,GC,Botton,3,33.6,1,3.1,171C005,485570,44,46.377,44.77295,62,26.039,-62.43398333,,Did a forth cast for the water chemistry,
GDS054-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS054,Aug 9 2021,0.189583333,ESI-6,GC,15,3,33.6,2,3.1,171C005,485571,44,46.377,44.77295,62,26.039,-62.43398333,,Did not fire so there is a CTD cast that doesn't have a valid rosette cast with it. ,
GDS055-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS055,Aug 9 2021,0.189583333,ESI-6,GC,Surface,3,33.6,3,3.1,171C005,485572,44,46.377,44.77295,62,26.039,-62.43398333,,Changed the bottom limit depth to 20m and will allow more line slack to account for increased current at station,
GDS057-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS057,Aug 12 2021,0.673611111,GC_02,GC,Bottom,1,22.1,1,3.1,171A006,485576,44,46.979,44.78298333,62,26.63,-62.44383333,,Decided to sample on a different day. With crew change we want  to get back close to 6,
GDS058-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS058,Aug 12 2021,0.673611111,GC_02,GC,10,1,22.1,2,3.1,171A006,485577,44,46.979,44.78298333,62,26.63,-62.44383333,,Moved a bit off the original position to find 20m,
GDS059-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS059,Aug 12 2021,0.673611111,GC_02,GC,Surface,1,22.1,3,3.1,171A006,485578,44,46.979,44.78298333,62,26.63,-62.44383333,,,
GDS060-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS060,Aug 12 2021,0.685416667,GC_02,GC,Bottom,2,21.5,1,3.1,171B006,485579,44,47.051,44.78418333,62,26.638,-62.44396667,,,
GDS061-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS061,Aug 12 2021,0.685416667,GC_02,GC,10,2,21.5,2,3.1,171B006,485580,44,47.051,44.78418333,62,26.638,-62.44396667,,,
GDS062-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS062,Aug 12 2021,0.685416667,GC_02,GC,Surface,2,21.5,3,3.1,171B006,485581,44,47.051,44.78418333,62,26.638,-62.44396667,,,
GDS063-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS063,Aug 12 2021,0.696527778,GC_02,GC,Bottom,3,22.8,1,3.1,171C006,485582,44,46.942,44.78236667,62,26.613,-62.44355,,,
GDS064-Atlantic,Sample,2022-11-01,GDSXN002_Atlantic,GDS064,Aug 12 2021,0.696527778,GC_02,GC,10,3,22.8,2,3.1,171C006,485583,44,46.942,44.78236667,62,26.613,-62.44355,,,
GDS065-Atlantic,Sample,2022-10-31,GDSXN001_Atlantic,GDS065,Aug 12 2021,0.696527778,GC_02,GC,Surface,3,22.8,3,3.1,171C006,485584,44,46.942,44.78236667,62,26.613,-62.44355,,,
GDS067-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS067,Aug 9 2021,0.23125,ESI_05,GC,bottom,1,17.5,1,3.1,171A007,485586,44,49.384,44.82306667,62,29.06,-62.48433333,Station coordinates had to be adjusted slightly due to a navigation hazard. ,,
GDS068-Atlantic,Sample,2022-11-15,GDSXN005_Atlantic,GDS068,Aug 9 2021,0.23125,ESI_05,GC,5,1,17.5,2,3.1,171A007,485587,44,49.384,44.82306667,62,29.06,-62.48433333,Seeking depth between 10 and 13m ,,
GDS069-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS069,Aug 9 2021,0.23125,ESI_05,GC,Surface,1,17.5,3,3.1,171A007,485588,44,49.384,44.82306667,62,29.06,-62.48433333,,,
GDS070-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS070,Aug 9 2021,0.242361111,ESI_05,GC,bottom,2,18.2,1,3.1,171B007,485591,44,49.343,44.82238333,62,29.022,-62.4837,,,
GDS071-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS071,Aug 9 2021,0.242361111,ESI_05,GC,5,2,18.2,2,3.1,171B007,485592,44,49.343,44.82238333,62,29.022,-62.4837,,,
GDS072-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS072,Aug 9 2021,0.242361111,ESI_05,GC,Surface,2,18.2,3,3.1,171B007,485593,44,49.343,44.82238333,62,29.022,-62.4837,,,
GDS073-Atlantic,Sample,2022-11-02,GDSXN003_Atlantic,GDS073,Aug 9 2021,0.255555556,ESI_05,GC,bottom,3,18,1,3.1,171C007,485596,44,49.368,44.8228,62,29.064,-62.4844,,,
GDS074-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS074,Aug 9 2021,0.255555556,ESI_05,GC,5,3,18,2,3.1,171C007,485597,44,49.368,44.8228,62,29.064,-62.4844,,,
GDS075-Atlantic,Sample,2022-11-14,GDSXN004_Atlantic,GDS075,Aug 9 2021,0.255555556,ESI_05,GC,Surface,3,18,3,3.1,171C007,485598,44,49.368,44.8228,62,29.064,-62.4844,,,
